cycle,C1s,N1s,O1s,Si2p,Cl2p
0,0.0131470496,0.46658365199999996,0.04496386799999999,0.47256556699999996,0.00274029712
1,0.013151766167741935,0.46523153367741943,0.045567951483870946,0.47331949754838704,0.002729705117419355
2,0.01315648273548387,0.4638794153548387,0.04617203496774194,0.47407342809677416,0.0027191131148387093
3,0.013161199303225806,0.46252729703225803,0.0467761184516129,0.4748273586451613,0.002708521112258064
4,0.013165915870967741,0.46117517870967745,0.04738020193548386,0.47558128919354836,0.0026979291096774194
5,0.013170632438709678,0.4598230603870968,0.047984285419354816,0.47633521974193543,0.0026873371070967743
6,0.013175349006451613,0.4584709420645161,0.04858836890322581,0.47708915029032256,0.0026767451045161287
7,0.01318006557419355,0.4571188237419355,0.04919245238709677,0.4778430808387097,0.002666153101935484
8,0.013184782141935483,0.4557667054193548,0.04979653587096773,0.47859701138709676,0.002655561099354839
9,0.013189498709677418,0.4544145870967743,0.05040061935483869,0.4793509419354838,0.002644969096774194
10,0.013194215277419354,0.45306246877419354,0.051004702838709684,0.48010487248387096,0.0026343770941935477
11,0.01319893184516129,0.4517103504516129,0.05160878632258064,0.4808588030322581,0.002623785091612903
12,0.013203648412903226,0.4503582321290323,0.052212869806451595,0.4816127335806451,0.002613193089032258
13,0.013208364980645159,0.44900611380645167,0.05281695329032256,0.4823666641290322,0.002602601086451613
14,0.013213081548387096,0.44765399548387097,0.05342103677419355,0.4831205946774193,0.0025920090838709676
15,0.013217798116129031,0.4463018771612904,0.05402512025806451,0.48387452522580643,0.0025814170812903225
16,0.013222514683870968,0.4449497588387097,0.054629203741935466,0.4846284557741935,0.0025708250787096778
17,0.013227231251612903,0.44359764051612915,0.05523328722580643,0.4853823863225806,0.0025602330761290326
18,0.013231947819354838,0.4422455221935484,0.05583737070967742,0.4861363168709677,0.002549641073548387
19,0.013236664387096773,0.44089340387096776,0.05644145419354838,0.4868902474193548,0.002539049070967742
20,0.013241380954838709,0.4395412855483872,0.057045537677419336,0.4876441779677419,0.002528457068387097
21,0.013246097522580644,0.43818916722580653,0.057649621161290285,0.48839810851612897,0.002517865065806452
22,0.01325081409032258,0.43683704890322583,0.05825370464516129,0.4891520390645161,0.002507273063225806
23,0.013255530658064516,0.43548493058064525,0.05885778812903225,0.4899059696129032,0.0024966810606451614
24,0.01326024722580645,0.43413281225806455,0.05946187161290321,0.4906599001612903,0.0024860890580645167
25,0.013261902167741934,0.43110647096774213,0.0607509342967741,0.4923981636129031,0.002483446552258064
26,0.01326075770645161,0.42654930080645165,0.06266630898064517,0.49503645367741933,0.002488072683548387
27,0.01325961324516129,0.4219921306451614,0.0645816836645161,0.4976747437419354,0.0024926988148387093
28,0.013258468783870967,0.41743496048387113,0.06649705834838703,0.5003130338064515,0.002497324946129032
29,0.013257324322580644,0.4128777903225806,0.0684124330322581,0.5029513238709677,0.002501951077419355
30,0.013256179861290322,0.40832062016129034,0.07032780771612902,0.5055896139354839,0.002506577208709677
31,0.013255035399999998,0.4037634500000001,0.07224318239999997,0.508227904,0.00251120334
32,0.013253890938709677,0.3992062798387099,0.0741585570838709,0.510866194064516,0.002515829471290322
33,0.013252746477419355,0.39464910967741956,0.07607393176774183,0.513504484129032,0.0025204556025806447
34,0.013251602016129032,0.3900919395161291,0.0779893064516129,0.5161427741935484,0.0025250817338709677
35,0.013250457554838708,0.3855347693548389,0.07990468113548382,0.5187810642580645,0.0025297078651612902
36,0.013249313093548386,0.38097759919354857,0.08182005581935475,0.5214193543225805,0.002534333996451613
37,0.013248168632258063,0.376420429032258,0.08373543050322584,0.5240576443870968,0.0025389601277419353
38,0.013247024170967741,0.37186325887096777,0.08565080518709677,0.5266959344516128,0.002543586259032258
39,0.01324587970967742,0.36730608870967757,0.0875661798709677,0.5293342245161289,0.0025482123903225805
40,0.013244735248387096,0.36274891854838726,0.08948155455483864,0.531972514580645,0.002552838521612903
41,0.013243590787096773,0.3581917483870967,0.09139692923870969,0.5346108046451613,0.0025574646529032256
42,0.013242446325806451,0.3536345782258065,0.09331230392258062,0.5372490947096774,0.002562090784193548
43,0.01324130186451613,0.34907740806451626,0.09522767860645157,0.5398873847741935,0.002566716915483871
44,0.013240157403225808,0.344520237903226,0.0971430532903225,0.5425256748387095,0.0025713430467741933
45,0.013239012941935484,0.33996306774193547,0.09905842797419355,0.5451639649032258,0.0025759691780645163
46,0.01323786848064516,0.3354058975806452,0.1009738026580645,0.5478022549677418,0.002580595309354839
47,0.013236724019354839,0.330848727419355,0.10288917734193542,0.5504405450322579,0.0025852214406451614
48,0.013235579558064516,0.3262915572580647,0.10480455202580635,0.553078835096774,0.0025898475719354835
49,0.013234435096774194,0.3217343870967742,0.10671992670967743,0.5557171251612903,0.0025944737032258065
50,0.013233290635483872,0.31717721693548395,0.10863530139354836,0.5583554152258065,0.002599099834516129
51,0.013232146174193549,0.3126200467741937,0.1105506760774193,0.5609937052903224,0.0026037259658064516
52,0.013231001712903225,0.3080628766129035,0.11246605076129022,0.5636319953548385,0.0026083520970967737
53,0.013229857251612904,0.3035057064516129,0.11438142544516129,0.5662702854193548,0.0026129782283870967
54,0.013228712790322582,0.2989485362903227,0.11629680012903222,0.5689085754838709,0.0026176043596774197
55,0.013227568329032258,0.2943913661290324,0.11821217481290315,0.571546865548387,0.002622230490967742
56,0.013226423867741937,0.28983419596774185,0.12012754949677422,0.5741851556129033,0.002626856622258065
57,0.013225279406451613,0.28527702580645165,0.12204292418064515,0.5768234456774194,0.002631482753548387
58,0.01322413494516129,0.2807198556451614,0.12395829886451608,0.5794617357419355,0.00263610888483871
59,0.013222990483870968,0.27616268548387113,0.12587367354838702,0.5821000258064515,0.002640735016129032
60,0.013221846022580646,0.2716055153225809,0.12778904823225795,0.5847383158709676,0.0026453611474193547
61,0.013220701561290323,0.2670483451612904,0.12970442291612902,0.5873766059354838,0.002649987278709677
62,0.013223409699999997,0.2625089120000001,0.13147909430000004,0.5901336359999998,0.00265498807
