,name,wavelength
0,CN,806.4
1,CN,787.3
2,CN,785.0
3,CN,743.7
4,CN,725.9
5,CN,708.8
6,CN,692.8
7,CN,663.1
8,CN,647.9
9,CN,647.8
10,CN,647.0
11,CN,585.8
12,CN,429.2
13,CN,423.9
14,CN,422.4
15,CN,421.6
16,CN,419.7
17,CN,418.1
18,CN,417.6
19,CN,391.0
20,CN,388.3
21,CN,387.2
22,CN,387.1
23,CN,387.0
24,CN,386.2
25,CN,385.6
26,CN,359.0
27,CN,358.6
28,CN,358.4
29,CN,306.3
30,CN,304.2
31,CN,295.3
32,CN,289.8
33,CN,284.3
34,CN,266.0
35,CN,218.1
36,CN,215.8
37,CN+,306.5
38,CN2,329.5
39,CN2,329.0
40,CN2,328.6
41,C,732.6
42,C,426.7
43,C,283.7
44,C,248.0
45,C2,790.8
46,C2,771.5
47,C2,708.3
48,C2,589.9
49,C2,563.6
50,C2,541.6
51,C2,516.5
52,C2,490.2
53,C2,473.7
54,C2,468.0
55,C2,410.2
56,C2,385.2
57,C2,360.7
58,C2,298.7
59,C2,285.5
60,C2,249.1
61,C2,231.3
62,C2,214.3
63,C2H2,790.1
64,C2H2,787.4
65,C2H2,220.6
66,C2H2,218.9
67,C2H2,218.6
68,C2H2,214.1
69,C2H5,224.2
70,C2H5,222.8
71,C2O,730.3
72,C2O,728.2
73,C3,405.0
74,C3,403.9
75,C3,399.1
76,C3H3,332.0
77,C3H3,321.7
78,C3H3,311.9
79,C4H2,506.8
80,C4H2,243.3
81,C6H6,273.9
82,C6H6,267.9
83,C6H6,266.7
84,C6H6,260.3
85,C6H6,258.9
86,C6H6,252.9
87,CH,432.4
88,CH,432.0
89,CH,431.4
90,CH,431.0
91,CH,422.5
92,CH,402.6
93,CH,402.5
94,CH,395.4
95,CH,388.8
96,CH,387.1
97,CH,362.7
98,CH,314.3
99,CH+,477.6
100,CH3O,351.4
101,CHO,613.8
102,CHO,350.1
103,CHO,337.6
104,CHO,329.8
105,CHO,318.6
106,CHO,311.5
107,CO,721.0
108,CO,680.4
109,CO,662.4
110,CO,662.0
111,CO,651.4
112,CO,643.3
113,CO,640.1
114,CO,630.4
115,CO,618.9
116,CO,608.0
117,CO,603.7
118,CO,601.1
119,CO,598.2
120,CO,582.4
121,CO,561.6
122,CO,561.0
123,CO,546.1
124,CO,519.8
125,CO,503.3
126,CO,502.4
127,CO,483.5
128,CO,483.2
129,CO,482.5
130,CO,478.7
131,CO,465.6
132,CO,460.0
133,CO,457.1
134,CO,453.9
135,CO,451.2
136,CO,451.1
137,CO,439.3
138,CO,438.4
139,CO,438.0
140,CO,424.9
141,CO,423.6
142,CO,412.5
143,CO,411.2
144,CO,399.7
145,CO,397.8
146,CO,395.4
147,CO,395.2
148,CO,389.3
149,CO,388.8
150,CO,377.8
151,CO,374.4
152,CO,373.0
153,CO,370.0
154,CO,368.0
155,CO,355.2
156,CO,349.3
157,CO,348.8
158,CO,311.2
159,CO,331.0
160,CO,330.6
161,CO,352.3
162,CO,324.2
163,CO,313.8
164,CO,313.6
165,CO,313.4
166,CO,302.8
167,CO,297.7
168,CO,297.6
169,CO,292.5
170,CO,283.3
171,CO,283.2
172,CO,271.0
173,CO,269.8
174,CO,266.5
175,CO,259.7
176,CO,257.8
177,CO,257.5
178,CO,251.1
179,CO,250.5
180,CO,249.3
181,CO,249.0
182,CO,247.4
183,CO,246.3
184,CO,246.0
185,CO,243.4
186,CO,240.9
187,CO,238.9
188,CO,231.2
189,CO,230.0
190,CO,226.2
191,CO,222.2
192,CO,219.7
193,CO,219.0
194,CO,209.0
195,CO,206.8
196,CO,206.2
197,CO,204.6
198,CO+,427.4
199,CO+,427.2
200,CO+,422.4
201,CO+,401.9
202,CO+,104.7
203,CO+,401.7
204,CO+,371.2
205,CO+,350.4
206,CO+,257.6
207,CO+,241.6
208,CO+,230.4
209,CO+,219.2
210,CO2,782.0
211,CO2,396.1
212,CO2,387.1
213,CO2,366.2
214,CO2,354.6
215,CO2,377.0
216,CO2,324.7
217,CO2,290.0
218,CO2,288.0
219,CO2+,582.8
220,CO2+,366.4
221,CO2+,362.1
222,CO2+,350.4
223,CO2+,337.6
224,CO2+,337.0
225,CO2+,324.8
226,CO2+,313.6
227,CO2+,289.6
228,NCO,440.4
229,NCO,438.5
230,NCO,425.8
231,NCO,416.7
