wavelength[nm],intensity [a.u.]
295.17,7665
315.33,31485
336.67,54364
353.26,14125
357.01,32136
370.44,3732
375.28,8404
380.13,10564
393.62,2755
399.56,3825
405.52,3261
414.19,746
419.61,1407
426.13,1849
433.75,1056
538.16,813
573.2,1867
578.79,2696
583.82,3229
589.41,3409
593.88,3193
600.04,3028
605.09,2626
611.27,1679
617.44,1072
623.63,1247
630.95,2332
637.15,3585
644.48,5112
652.39,7252
659.18,9834
667.1,10187
675.61,8027
683.55,4118
723.43,3278
736.02,6893
746.33,11910
760.11,14736
771.04,19263
850.92,2306
866.65,11738
885.34,21627
1041.33,3979
